,Mean Score Math,Mean Score EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
571,-0.20567149704168886,0.10677359630064835,-0.12005512735440847,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
709,0.5410123243514883,0.25399092564212855,-0.13320192540918835,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
626,-0.711330027682231,-0.9753099160930712,0.051942092595395783,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
64,-1.7495324545008981,-1.6692312066060766,-1.6452853397158498,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
285,-0.9968555232167831,-1.3770745723616846,-0.11340107312422848,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
497,0.13535126317668808,-0.022902944863974792,0.12703208639294222,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
205,2.6336130224235443,2.5190794397045746,-0.06831481476458459,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
573,0.08304865360760147,0.20914981300955013,-0.12005512735440847,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
542,-0.3021145853387423,0.09871915275005856,-0.13320192540918835,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
390,-0.7611836856327057,-1.0893112709630695,-1.556685599450968,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
251,-1.5551031884940405,-1.390144737577877,-0.19800838085100206,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
275,-0.8016897827174676,-0.7643144736964597,-0.3512129385507222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
203,1.9001872079760087,1.3552522201261703,-0.06831481476458459,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
403,-1.6604190409144217,-1.7960886925279855,-1.556685599450968,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
323,0.46750125927173636,0.26886927275641576,1.4684087639944403,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
691,-0.28247526554005636,-0.48522800466826,-0.6308445266238624,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
702,0.3474042345818331,1.0726709452499248,0.6107616651263308,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
685,-1.7738361127517552,-1.5987548255383435,-1.0942893218555507,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
333,1.152944859585508,1.0649524793278369,1.5527337785114488,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
605,0.3831135570118205,0.8679185118321019,-0.32891177497927043,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
14,0.7510439388650703,0.9806807215404706,1.0872726032100088,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
544,-0.3831267795082663,0.009672804607331142,-1.3020974518441417,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
274,-0.9287951218455152,-0.9401651955606246,-0.3512129385507222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
449,0.7337976454284222,0.9247734074833746,0.5168386814773052,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
662,1.04351873217453,0.8783273311898032,0.6542348194301735,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
140,1.1004434701812464,1.2510798978819526,1.4684087639944403,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
673,0.453999226910154,0.35485045765905315,-0.3893628494704209,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
483,0.08576198068504097,-0.5236696670688342,0.8180052086953915,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,-0.9712153001462868,-0.9550705451197783,-1.229023838116347,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
478,-0.6658752219038614,-0.2961854766277729,0.8180052086953915,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
393,-1.0349490314469605,-0.6018785664355341,-0.3625449945427257,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
570,0.7174854895003517,0.7201233826026919,-0.4275934155929096,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
600,-0.5451511678473142,-0.40065634738698735,-0.32891177497927043,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
494,0.17392849849551867,0.6214525391838143,-0.6240694895894973,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
675,0.14731020612553458,0.046365269671160496,-1.020086535288695,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
259,-0.7516528392598144,-0.39568154401749756,2.0823158400309865,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
695,-0.8827019768869916,-0.7389429765120779,-0.6308445266238624,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
556,0.2795114240834841,0.01569642692082251,-0.2799137392843086,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
82,0.39324008128301097,0.41334585394526163,-0.1067873464954435,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
10,1.1750077550189173,1.2231194724134469,1.3445627001103022,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
585,-0.8779919655980595,-1.0359271683602724,-1.6506489107013889,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
132,-0.23681384700815675,-0.32223535608980075,-1.1317133359501388,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
399,-0.7516528392598144,-1.0324563753117957,-0.3625449945427257,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
513,1.1720618570491192,0.9665854453269149,-0.02653541971933319,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
586,-0.6658752219038614,-1.0026075550948752,-1.6506489107013889,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
15,0.6362766637915829,0.666356061978397,1.0872726032100088,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
263,1.5354477236811057,1.9136537661513326,2.0823158400309865,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
