,District Number,District Name,School Number,School Name,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10,Zip Code,Median Family Income,Population
247,2000,mesa county valley 51,1450,central high school,473,463,936,451,445,895,81504,59781.0,29628.0
248,2000,mesa county valley 51,3570,grand junction high school,497,481,979,466,451,917,81501,44619.0,24610.0
249,2000,mesa county valley 51,3604,grand river academy,471,437,908,477,439,916,81501,44619.0,24610.0
250,2000,mesa county valley 51,5828,mesa valley community school,530,504,1034,506,461,967,81505,68830.0,8919.0
251,2000,mesa county valley 51,6070,fruita monument high school,521,498,1019,481,465,946,81521,63456.0,14830.0
252,2000,mesa county valley 51,6666,palisade high school,500,490,991,464,465,929,81526,69393.0,5445.0
253,2000,mesa county valley 51,7236,r-5 high school,416,400,816,381,383,764,81501,44619.0,24610.0
254,2020,moffat county re:no 1,5962,moffat county high school,480,451,931,451,442,892,81625,67111.0,12425.0
255,2035,montezuma-cortez re-1,6026,montezuma-cortez high school,478,459,937,443,430,872,81321,45591.0,14284.0
256,2055,dolores re-4a,2208,dolores high school,489,471,960,451,450,901,81323,61970.0,4959.0
257,2070,mancos re-6,5452,mancos high school,478,466,944,460,446,906,81328,58837.0,4092.0
258,2180,montrose county re-1j,6058,montrose high school,501,488,989,470,453,922,81402,,
259,2180,montrose county re-1j,6494,olathe high school,464,469,933,444,452,896,81425,42632.0,5119.0
260,2180,montrose county re-1j,9149,vista charter school,423,409,832,400,397,797,81402,,
261,2395,brush re-2(j),1096,brush high school,476,489,965,450,456,906,80723,51229.0,7099.0
262,2405,fort morgan re-3,3078,fort morgan high school,467,451,918,442,439,881,80701,53060.0,16370.0
263,2505,weldon valley re-20(j),9360,weldon valley jr/sr high school,478,447,925,452,449,902,80653,52500.0,683.0
264,2515,wiggins re-50(j),9582,wiggins high school,508,471,979,483,452,936,80654,54653.0,2518.0
265,2520,east otero r-1,5015,la junta jr/sr high school,471,457,928,431,437,868,81050,39952.0,9645.0
266,2530,rocky ford r-2,7442,rocky ford junior/senior high school,493,453,946,456,444,900,81067,45058.0,6144.0
267,2540,fowler r-4j,3134,fowler high school,515,508,1023,491,485,976,81039,51375.0,1747.0
268,2570,swink 33,8456,swink junior-senior high school,512,510,1022,496,477,973,81077,49875.0,522.0
269,2590,ridgway r-2,7346,ridgway high school,570,526,1097,519,490,1009,81432,72708.0,2825.0
